Data,Dia da Semana,Hora Litúrgica,Título,Texto Litúrgico,
ORDINARIO,sábado,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,sábado,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,sábado,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,sábado,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,sábado,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,domingo,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,domingo,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,domingo,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,domingo,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,domingo,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
ORDINARIO,domingo,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/1kpGj26ACDbBWsDB-UspkNU3pRr50OhNorcVYN-Z3mWQ/edit?usp=sharing,
